family,mechanism,role,variant,instrument,session,entry_model,orb_minutes,rr_target,k_family,n_is,exp_r_is,t_stat,p_value,q_value,wfe,era_dead,n_oos,exp_r_oos,mean_cost_to_risk,classification
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E1,5,1.0,594,1719,-0.23655805700988947,-12.09640415250337,2.194193562012755e-32,7.089439398863212e-29,,True,87,-0.15850229885057474,0.19567968104664515,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,EUROPE_FLOW,E1,5,2.0,594,1719,-0.23690942408376964,-8.685841344980991,8.588468153091823e-18,2.3124450502199735e-15,,True,87,-0.274103448275862,0.19567968104664515,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,LONDON_METALS,E2,30,2.0,594,1699,-0.036330429664508536,-1.1687981958045184,0.24264900714625065,0.3895886138552628,,True,76,0.04022105263157892,0.09740220893316473,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,LONDON_METALS,E2,30,1.5,594,1699,-0.04399011183048853,-1.6349945257551877,0.10223554757622046,0.21407845380347912,,True,76,-0.10119736842105263,0.09740220893316473,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,LONDON_METALS,E2,30,1.0,594,1699,-0.06897416127133608,-3.154925913884401,0.001633523641892957,0.008499057788979298,,True,76,-0.03510921052631579,0.09740220893316473,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,LONDON_METALS,E1,30,2.0,594,1699,-0.06977404355503238,-2.2617703910451525,0.02383757872111903,0.0726253812804673,,True,76,-0.031138157894736868,0.09308731689973299,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,LONDON_METALS,E2,15,1.5,594,1714,-0.08425740956826136,-3.225964412047235,0.0012791762810309493,0.006940417403880767,,True,76,-0.09036842105263158,0.1239038631738766,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,LONDON_METALS,E2,15,1.0,594,1714,-0.08480414235705952,-3.9966973953500524,6.695759680705621e-05,0.0005855161036449503,,True,76,-0.08253947368421054,0.1239038631738766,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,LONDON_METALS,E1,30,1.5,594,1699,-0.09097892878163624,-3.3972747742357496,0.0006963200173584174,0.004213127296039413,,True,76,-0.12981184210526314,0.09308731689973299,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,LONDON_METALS,E2,15,2.0,594,1714,-0.09389690781796967,-3.117699851344559,0.0018529857929866886,0.009376659510007816,,True,76,-0.017490789473684185,0.1239038631738766,UNSUPPORTED_NULL_OR_NEGATIVE
