inst,sess,apt,rr,dir,n_on,n_off,expr_on,expr_off,delta
MNQ,TOKYO_OPEN,30,2.0,long,206,549,0.04255776699029124,0.025918761384335166,0.016639005605956075
MNQ,TOKYO_OPEN,30,2.0,short,174,501,0.004056321839080465,-0.0965558882235529,0.10061221006263336
MNQ,SINGAPORE_OPEN,5,1.0,long,197,540,0.06472487309644669,-0.018698148148148155,0.08342302124459484
MNQ,SINGAPORE_OPEN,5,1.0,short,184,526,0.027274999999999976,-0.05102984790874524,0.07830484790874521
MNQ,SINGAPORE_OPEN,5,1.5,long,197,540,0.10972182741116752,-0.03513166666666665,0.14485349407783418
MNQ,SINGAPORE_OPEN,5,1.5,short,184,526,0.02688369565217393,-0.06035057034220531,0.08723426599437924
MNQ,SINGAPORE_OPEN,5,2.0,long,197,539,0.15228274111675125,-0.004405751391465676,0.15668849250821693
MNQ,SINGAPORE_OPEN,5,2.0,short,184,526,0.01177282608695653,-0.09561996197718632,0.10739278806414285
MNQ,SINGAPORE_OPEN,15,1.0,long,205,560,0.16781463414634146,0.02052696428571429,0.14728766986062716
MNQ,SINGAPORE_OPEN,15,1.0,short,176,504,0.054906818181818175,-0.010914682539682542,0.06582150072150071
MNQ,SINGAPORE_OPEN,15,1.5,long,205,560,0.24163463414634154,0.04386196428571428,0.19777266986062725
MNQ,SINGAPORE_OPEN,15,1.5,short,176,504,0.01415340909090908,0.006281746031746046,0.007871663059163033
MNQ,SINGAPORE_OPEN,15,2.0,long,205,560,0.24363951219512195,0.07623428571428569,0.16740522648083628
MNQ,SINGAPORE_OPEN,15,2.0,short,176,504,-0.033856250000000004,0.015161507936507918,-0.04901775793650792
MNQ,SINGAPORE_OPEN,30,1.0,long,206,561,0.14620825242718444,0.028563101604278066,0.11764515082290637
MNQ,SINGAPORE_OPEN,30,1.0,short,172,496,0.037166860465116275,0.03838568548387094,-0.0012188250187546643
MNQ,SINGAPORE_OPEN,30,1.5,long,206,560,0.19951844660194182,0.0957769642857143,0.10374148231622751
MNQ,SINGAPORE_OPEN,30,1.5,short,172,496,0.033187790697674434,0.04025987903225808,-0.007072088334583643
MNQ,SINGAPORE_OPEN,30,2.0,long,206,559,0.2316800970873786,0.1043813953488372,0.1272987017385414
MNQ,SINGAPORE_OPEN,30,2.0,short,172,495,0.02266220930232558,0.04534686868686868,-0.022684659384543098
MNQ,LONDON_METALS,5,1.0,long,185,539,0.12136216216216217,0.022818552875695713,0.09854360928646645
MNQ,LONDON_METALS,5,1.0,short,194,527,0.044870618556701033,0.02218557874762808,0.022685039809072955
MNQ,LONDON_METALS,5,1.5,long,185,539,0.14902702702702703,0.08171243042671614,0.06731459660031089
MNQ,LONDON_METALS,5,1.5,short,194,527,0.05145257731958763,-0.03761555977229601,0.08906813709188363
MNQ,LONDON_METALS,5,2.0,long,185,539,0.13620378378378378,0.08756178107606677,0.048642002707717014
MNQ,LONDON_METALS,5,2.0,short,194,527,0.056523195876288665,-0.034182163187855795,0.09070535906414445
MNQ,LONDON_METALS,15,1.0,long,188,575,0.01630531914893617,0.07771878260869568,-0.06141346345975951
MNQ,LONDON_METALS,15,1.0,short,191,490,0.023389005235602087,0.02757938775510204,-0.004190382519499953
MNQ,LONDON_METALS,15,1.5,long,187,573,-0.004821925133689835,0.12678481675392672,-0.13160674188761656
MNQ,LONDON_METALS,15,1.5,short,191,488,0.0299544502617801,0.028742622950819682,0.0012118273109604193
MNQ,LONDON_METALS,15,2.0,long,187,570,-0.08228663101604274,0.08800210526315791,-0.17028873627920066
MNQ,LONDON_METALS,15,2.0,short,191,488,0.0718984293193717,0.022358196721311455,0.049540232598060244
MNQ,LONDON_METALS,30,1.0,long,192,563,0.015332291666666664,0.02245417406749554,-0.0071218824008288766
MNQ,LONDON_METALS,30,1.0,short,176,493,0.014956818181818203,0.01803062880324542,-0.0030738106214272184
MNQ,LONDON_METALS,30,1.5,long,191,556,-0.0020942408376963275,0.08396474820143884,-0.08605898903913517
MNQ,LONDON_METALS,30,1.5,short,174,490,0.03163678160919541,0.08085612244897959,-0.04921934083978418
MNQ,LONDON_METALS,30,2.0,long,190,553,-0.05491473684210525,0.09620289330922242,-0.15111763015132768
MNQ,LONDON_METALS,30,2.0,short,173,488,0.07627109826589595,0.10876946721311473,-0.032498368947218775
