orb_label,rr_target,direction,signal,n_on_is,n_off_is,expr_on_is,expr_off_is,delta_is,winrate_on_is,winrate_off_is,welch_t,welch_p,n_on_oos,n_off_oos,expr_on_oos,expr_off_oos,delta_oos,same_sign_oos,role,bh_p,abs_delta_is,priority_rank
NYSE_OPEN,1.5,long,F3_NEAR_PIVOT_50__AND__F4_ABOVE_PDH,95,735,0.24773157894736839,0.06258122448979593,0.18515035445757244,0.5263157894736842,0.44081632653061226,1.4229093417908563,0.1573602836031688,0,28,,0.2308464285714286,,,TAKE,0.604470454350924,0.18515035445757244,125
US_DATA_1000,1.0,long,F3_NEAR_PIVOT_50__AND__F5_BELOW_PDL,49,832,0.2072081632653061,0.031063221153846157,0.17614494211145995,0.6326530612244898,0.5444711538461539,1.285421666229095,0.20413171953226358,0,35,,-0.05317714285714284,,,TAKE,0.6883286845693172,0.17614494211145995,107
CME_PRECLOSE,1.0,long,F1_NEAR_PDH_15__AND__F4_ABOVE_PDH,66,677,0.28521969696969696,0.12019615952732644,0.16502353744237053,0.7121212121212122,0.6115214180206795,1.5356077838761546,0.1285477491469935,3,28,-1.0,0.1448214285714286,-1.1448214285714287,False,TAKE,0.6000982807058751,0.16502353744237053,105
CME_PRECLOSE,1.0,short,F4_ABOVE_PDH,244,465,-0.02472540983606559,0.10629956989247308,-0.13102497972853866,0.5368852459016393,0.5978494623655914,-1.8207821636469281,0.06924429564040704,11,24,0.16990909090909093,-0.2921708333333333,0.4620799242424243,False,AVOID,0.4236121615648431,0.13102497972853866,89
US_DATA_1000,1.5,short,F2_NEAR_PDL_15__AND__F3_NEAR_PIVOT_50,81,726,-0.004986419753086411,0.13986239669421488,-0.1448488164473013,0.41975308641975306,0.4820936639118457,-1.0475469592684172,0.2974015156564218,0,33,,-0.0419848484848485,,,AVOID,0.728885770066141,0.1448488164473013,72
NYSE_OPEN,1.5,long,F2_NEAR_PDL_15,113,717,-0.03323008849557525,0.10221297071129706,-0.13544305920687233,0.39823008849557523,0.45885634588563456,-1.120276969365335,0.2643883802817029,4,24,0.23667499999999997,0.22987499999999997,0.0068000000000000005,False,AVOID,0.7235892512972922,0.13544305920687233,63
NYSE_OPEN,1.5,long,F2_NEAR_PDL_15__AND__F3_NEAR_PIVOT_50,90,740,-0.029474444444444456,0.0975464864864865,-0.12702093093093098,0.4,0.45675675675675675,-0.9515462540063883,0.3433780824102228,3,25,0.6488999999999999,0.18068,0.4682199999999999,False,AVOID,0.7338357211376522,0.12702093093093098,54
NYSE_OPEN,1.5,short,F3_NEAR_PIVOT_50__AND__F5_BELOW_PDL,45,774,0.2255977777777778,0.09826227390180879,0.12733550387596904,0.5111111111111111,0.4560723514211886,0.6846630570716565,0.49677355985713945,3,37,-0.1802,-0.004583783783783783,-0.1756162162162162,False,TAKE,0.8126742682680573,0.12733550387596904,46
NYSE_OPEN,1.5,long,F2_NEAR_PDL_15__AND__F6_INSIDE_PDR,60,770,-0.029290000000000035,0.09258324675324676,-0.1218732467532468,0.4,0.45454545454545453,-0.7583753005229149,0.4508273392725443,3,25,0.6488999999999999,0.18068,0.4682199999999999,False,AVOID,0.7788059378958448,0.1218732467532468,44
NYSE_OPEN,1.5,short,F1_NEAR_PDH_15__AND__F4_ABOVE_PDH,83,736,0.21114939759036147,0.09331725543478261,0.11783214215557886,0.5060240963855421,0.453804347826087,0.8448580968881895,0.40018245484493487,3,37,-0.18416666666666667,-0.004262162162162155,-0.17990450450450451,False,TAKE,0.7479972606490053,0.11783214215557886,43
US_DATA_1000,1.5,short,F1_NEAR_PDH_15__AND__F3_NEAR_PIVOT_50,126,681,0.029453968253968274,0.1430616740088106,-0.11360770575484232,0.4444444444444444,0.48164464023494863,-1.006319028590707,0.3156349658826073,5,28,-0.032379999999999985,-0.04370000000000001,0.011320000000000024,False,AVOID,0.7294674767064702,0.11360770575484232,41
CME_PRECLOSE,1.0,short,F3_NEAR_PIVOT_15,130,579,0.14496769230769233,0.04240155440414508,0.10256613790354724,0.6230769230769231,0.5664939550949913,1.1733662138240262,0.24208797420247147,3,32,-0.3719333333333334,-0.125853125,-0.24608020833333338,False,TAKE,0.706634928420907,0.10256613790354724,32
