trading_day,pnl_r,pnl_r0,outcome,is_scratch,is_is,is_oos,year,feature_fire,orb_mid,pivot_val,break_dir
2023-11-03,0.973,0.973,win,0,True,False,2023,1,15012.125,14909.75,long
2023-11-06,0.7274,0.7274,win,0,True,False,2023,1,15197.25,15114.75,long
2023-11-07,0.7336,0.7336,win,0,True,False,2023,1,15230.125,15206.166666666666,long
2023-11-09,-1.0,-1.0,loss,0,True,False,2023,1,15387.125,15354.75,long
2023-11-10,0.6913,0.6913,win,0,True,False,2023,1,15279.875,15315.083333333334,long
2023-11-14,,0.0,scratch,1,True,False,2023,0,15682.75,15541.083333333334,long
2023-11-16,-1.0,-1.0,loss,0,True,False,2023,1,15846.125,15908.666666666666,long
2023-11-20,0.714,0.714,win,0,True,False,2023,1,15892.0,15879.5,long
2023-11-22,0.8875,0.8875,win,0,True,False,2023,1,16054.875,16000.916666666666,long
2023-11-23,0.595,0.595,win,0,True,False,2023,1,16059.5,16053.583333333334,long
2023-11-24,0.714,0.714,win,0,True,False,2023,1,16032.5,16061.0,long
2023-11-28,-1.0,-1.0,loss,0,True,False,2023,1,15978.25,16010.416666666666,long
2023-11-29,0.9171,0.9171,win,0,True,False,2023,0,16156.25,16022.75,long
2023-12-06,0.9312,0.9312,win,0,True,False,2023,0,15976.875,15874.5,long
2023-12-07,0.87,0.87,win,0,True,False,2023,1,15859.375,15885.0,long
2023-12-08,0.9734,0.9734,win,0,True,False,2023,1,15944.125,15957.666666666666,long
2023-12-11,0.779,0.779,win,0,True,False,2023,1,16067.25,16033.833333333334,long
2023-12-13,-1.0,-1.0,loss,0,True,False,2023,1,16618.5,16531.0,long
2023-12-14,0.9025,0.9025,win,0,True,False,2023,0,16821.125,16714.333333333332,long
2023-12-19,-1.0,-1.0,loss,0,True,False,2023,1,16960.5,16898.833333333332,long
2023-12-20,-1.0,-1.0,loss,0,True,False,2023,1,16978.875,16988.833333333332,long
2023-12-21,-1.0,-1.0,loss,0,True,False,2023,1,16889.375,16874.833333333332,long
2023-12-22,0.9381,0.9381,win,0,True,False,2023,1,16953.0,16903.833333333332,long
2023-12-29,0.714,0.714,win,0,True,False,2023,1,17084.25,17111.0,long
2024-01-02,-1.0,-1.0,loss,0,True,False,2024,0,16835.625,17024.083333333332,long
2024-01-03,-1.0,-1.0,loss,0,True,False,2024,0,16635.0,16797.333333333332,long
2024-01-05,0.97,0.97,win,0,True,False,2024,0,16382.125,16491.166666666668,long
2024-01-12,0.9567,0.9567,win,0,True,False,2024,1,16938.875,16922.583333333332,long
2024-01-16,-1.0,-1.0,loss,0,True,False,2024,1,16901.125,16975.583333333332,long
2024-01-18,-1.0,-1.0,loss,0,True,False,2024,0,17008.0,16843.25,long
2024-01-23,0.7831,0.7831,win,0,True,False,2024,1,17504.875,17491.5,long
2024-01-25,-1.0,-1.0,loss,0,True,False,2024,1,17652.125,17659.5,long
2024-01-26,-1.0,-1.0,loss,0,True,False,2024,1,17571.75,17624.0,long
2024-02-01,-1.0,-1.0,loss,0,True,False,2024,1,17333.625,17323.333333333332,long
2024-02-06,-1.0,-1.0,loss,0,True,False,2024,1,17731.875,17667.166666666668,long
2024-02-08,0.8806,0.8806,win,0,True,False,2024,1,17802.875,17787.166666666668,long
2024-02-21,0.8303,0.8303,win,0,True,False,2024,1,17488.5,17608.416666666668,long
