trading_day,split,context_state,context_pass,touched_long_stop,entry_ts,pnl_r,outcome
2022-01-21,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-01-22 01:31:00+10:00,0.9616,win
2022-01-24,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-01-25 04:55:00+10:00,-1.0,loss
2022-01-28,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-01-29 01:05:00+10:00,0.9513,win
2022-01-31,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-02-01 01:07:00+10:00,0.9236,win
2022-02-03,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-02-04 01:05:00+10:00,0.9566,win
2022-02-08,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-02-09 01:17:00+10:00,0.949,win
2022-02-11,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-02-12 01:05:00+10:00,-1.0,loss
2022-02-14,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-02-15 01:11:00+10:00,-1.0,loss
2022-02-15,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-02-16 01:41:00+10:00,0.9171,win
2022-02-17,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2022-02-18,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2022-02-21,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-02-22 01:05:00+10:00,-1.0,loss
2022-02-24,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-02-25 01:11:00+10:00,0.9644,win
2022-03-04,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2022-03-07,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-03-08 01:06:00+10:00,-1.0,loss
2022-03-08,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-03-09 01:19:00+10:00,-1.0,loss
2022-03-14,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-03-15 00:07:00+10:00,-1.0,loss
2022-03-16,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-03-17 00:13:00+10:00,0.9481,win
2022-03-21,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-03-22 00:50:00+10:00,0.9265,win
2022-03-29,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-03-30 03:47:00+10:00,0.9521,win
2022-03-31,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-04-01 00:14:00+10:00,0.9529,win
2022-04-01,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-04-02 00:05:00+10:00,0.9221,win
2022-04-04,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-04-05 00:12:00+10:00,-1.0,loss
2022-04-06,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-04-07 00:43:00+10:00,-1.0,loss
2022-04-08,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-04-09 00:05:00+10:00,0.9454,win
2022-04-11,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2022-04-22,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-04-23 00:06:00+10:00,-1.0,loss
2022-04-25,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-04-26 00:06:00+10:00,0.9236,win
2022-05-03,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-05-04 03:17:00+10:00,-1.0,loss
2022-05-04,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-05-05 02:22:00+10:00,0.9146,win
2022-05-06,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-05-07 00:05:00+10:00,0.9591,win
2022-05-09,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2022-05-12,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-05-13 00:05:00+10:00,0.9637,win
2022-05-13,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-05-14 00:20:00+10:00,0.9577,win
2022-05-16,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-05-17 00:05:00+10:00,0.9529,win
2022-05-23,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-05-24 00:15:00+10:00,0.9622,win
2022-05-24,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-05-25 01:45:00+10:00,0.9251,win
2022-05-26,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-05-27 00:12:00+10:00,0.9332,win
2022-05-27,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-05-28 00:10:00+10:00,0.9361,win
2022-05-31,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-06-01 00:20:00+10:00,0.955,win
2022-06-06,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-06-07 00:06:00+10:00,-1.0,loss
2022-06-07,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-06-08 00:05:00+10:00,-1.0,loss
2022-06-09,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-06-10 00:29:00+10:00,-1.0,loss
2022-06-10,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-06-11 05:26:00+10:00,-1.0,loss
2022-06-13,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-06-14 02:38:00+10:00,-1.0,loss
2022-06-16,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2022-06-21,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-06-22 00:05:00+10:00,-1.0,loss
2022-06-24,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-06-25 00:05:00+10:00,0.7233,scratch
2022-06-27,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-06-28 00:05:00+10:00,-1.0,loss
2022-06-29,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-06-30 00:45:00+10:00,-1.0,loss
2022-06-30,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-07-01 00:14:00+10:00,0.9343,win
2022-07-04,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-07-05 01:02:00+10:00,0.8015,win
2022-07-05,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-07-06 00:11:00+10:00,0.9605,win
2022-07-11,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-07-12 00:07:00+10:00,0.9127,win
2022-07-12,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-07-13 00:19:00+10:00,0.9466,win
2022-07-13,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-07-14 00:31:00+10:00,0.961,win
2022-07-15,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-07-16 01:15:00+10:00,0.3089,scratch
2022-07-25,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-07-26 02:47:00+10:00,-1.0,loss
2022-07-26,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-07-27 08:06:00+10:00,-0.2144,scratch
2022-07-27,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-07-28 00:05:00+10:00,0.9009,win
2022-08-02,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-08-03 00:30:00+10:00,0.9347,win
2022-08-03,IS,TAKE_GO_LONG_CONTEXT,True,True,2022-08-04 00:05:00+10:00,-1.0,loss
