label,n,avg_r,wr,total_r,sharpe,median_mfe,mfe_gte_0.5R,mfe_gte_1.0R,mfe_gte_1.5R,mfe_gte_2.0R,mfe_gte_2.5R,mfe_gte_3.0R,instrument,session,lookback,test,threshold
CONTRACT<3.0x (N=978),978,-0.2807442740286298,0.19325153374233128,-274.56789999999995,-0.2095998811644088,0.5682,0.5316973415132924,0.3486707566462168,0.27096114519427406,0.21574642126789367,0.14826175869120656,0.08793456032719836,MGC,1000,7,expansion_ratio,<3.0
"r(expansion,pnl)=0.068 p=0.0314 | r(expansion,mfe)=0.080 p=0.0110",1006,0.0678724304252109,0.031354048041044656,,,0.08014677572088062,,,,,,,MGC,1000,7,expansion_ratio_correlation,continuous
POST-NR7 (N=173),173,-0.03918554913294797,0.26011560693641617,-6.7791,-0.025571793350954615,0.625,0.5606936416184971,0.3815028901734104,0.3352601156069364,0.2832369942196532,0.21965317919075145,0.1329479768786127,MGC,1000,7,post_nr,post_nr=True
NOT-NR7 (N=840),840,-0.320217380952381,0.17976190476190476,-268.98260000000005,-0.24558906106169387,0.5534,0.5238095238095238,0.34404761904761905,0.2619047619047619,0.20714285714285716,0.1380952380952381,0.08452380952380953,MGC,1000,7,post_nr,post_nr=False
pnl t=2.24 p=0.0258 | mfe t=1.86 p=0.0642,173,0.28103183181943303,,,,,,,,,,,MGC,1000,7,post_nr_significance,t-test
"r(expansion_ratio, abs_size)=0.526 p=0.0000",1006,0.5264555326453009,,,,,,,,,,,MGC,1000,7,confound_check,ratio_vs_abs_size
SIZE=small (0.0-1.0pt): expanding=-0.581R(N=162) contracting=-0.433R(N=161) diff=-0.148R p=0.1684,323,-0.1475469365846177,0.168405462085397,,,-0.11756284027298514,,,,,,,MGC,1000,7,expansion_within_size_band,small
SIZE=medium (1.0-2.0pt): expanding=-0.372R(N=192) contracting=-0.265R(N=159) diff=-0.108R p=0.4215,351,-0.10760239779874214,0.4215427758178919,,,-0.1441429245283019,,,,,,,MGC,1000,7,expansion_within_size_band,medium
SIZE=large (2.0-60.3pt): expanding=0.094R(N=166) contracting=-0.045R(N=166) diff=+0.139R p=0.4595,332,0.1387162650602409,0.459451290415,,,-0.0033999999999998476,,,,,,,MGC,1000,7,expansion_within_size_band,large
ALL (N=1003),1003,-0.2679153539381855,0.19441674975074777,-268.7191,-0.1978851608498346,0.5696,0.5333998005982054,0.35194416749750745,0.2761714855433699,0.2213359920239282,0.1535393818544367,0.09371884346959122,MGC,1000,10,expansion_ratio,ALL
EXPAND>=1.0x (N=509),509,-0.21312259332023575,0.18467583497053044,-108.4794,-0.14936882850193145,0.5703,0.5304518664047151,0.3575638506876228,0.28487229862475444,0.2455795677799607,0.17681728880157171,0.12180746561886051,MGC,1000,10,expansion_ratio,>=1.0
CONTRACT<1.0x (N=494),494,-0.3243718623481781,0.20445344129554655,-160.2397,-0.2550241214512692,0.5645,0.5364372469635628,0.34615384615384615,0.26720647773279355,0.19635627530364372,0.12955465587044535,0.06477732793522267,MGC,1000,10,expansion_ratio,<1.0
EXPAND>=1.25x (N=332),332,-0.12010903614457831,0.19578313253012047,-39.8762,-0.07893106185351212,0.6252500000000001,0.5632530120481928,0.39457831325301207,0.3192771084337349,0.28012048192771083,0.21686746987951808,0.15060240963855423,MGC,1000,10,expansion_ratio,>=1.25
CONTRACT<1.25x (N=671),671,-0.34104754098360657,0.19374068554396423,-228.84290000000001,-0.27148437589984703,0.5263,0.518628912071535,0.33084947839046197,0.2548435171385991,0.19225037257824143,0.12220566318926974,0.06557377049180328,MGC,1000,10,expansion_ratio,<1.25
EXPAND>=1.5x (N=221),221,-0.041103167420814525,0.20361990950226244,-9.08380000000001,-0.026047921083581612,0.679,0.5746606334841629,0.4117647058823529,0.3393665158371041,0.2986425339366516,0.24434389140271492,0.17647058823529413,MGC,1000,10,expansion_ratio,>=1.5
CONTRACT<1.5x (N=782),782,-0.3320144501278773,0.1918158567774936,-259.63530000000003,-0.26015717672483757,0.53815,0.5217391304347826,0.3350383631713555,0.25831202046035806,0.19948849104859334,0.1278772378516624,0.07033248081841433,MGC,1000,10,expansion_ratio,<1.5
EXPAND>=2.0x (N=108),108,-0.03968888888888891,0.2037037037037037,-4.286400000000002,-0.024579778130995576,0.7916,0.5648148148148148,0.4074074074074074,0.35185185185185186,0.3055555555555556,0.24074074074074073,0.19444444444444445,MGC,1000,10,expansion_ratio,>=2.0
