symbol,session,rr_target,confirm_bars,t80_minutes,n_before,n_after,avg_r_before,avg_r_after,wr_before,wr_after,t_stat,p_val,p_bh,verdict
MES,CME_OPEN,1.5,1,184.0,2107,343,-0.2436,0.0607,0.3721,0.481,1.0151,0.310791,0.377425,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,1.5,2,271.0,936,157,-0.1743,0.1184,0.3996,0.5032,1.3262,0.186716,0.238868,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,1.5,3,306.0,750,122,-0.2254,0.0675,0.3707,0.4754,0.6599,0.510597,0.568863,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,1.5,4,397.0,641,112,-0.2476,0.0466,0.3573,0.4643,0.4358,0.663841,0.708734,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,1.5,5,417.0,600,103,-0.1846,0.0758,0.3833,0.4757,0.6765,0.500271,0.559312,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,2.0,1,376.0,2018,274,-0.3109,0.2509,0.2825,0.4745,3.1366,0.001896,0.004102,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,2.0,2,446.0,903,128,-0.2296,0.2894,0.3112,0.4844,2.4429,0.015944,0.026826,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,2.0,3,464.0,736,107,-0.2667,0.3398,0.2935,0.4953,2.5795,0.011265,0.01976,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,2.0,4,491.0,633,103,-0.2293,0.1572,0.3049,0.4272,1.1813,0.240223,0.298763,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,2.0,5,483.0,589,100,-0.2018,0.1096,0.3124,0.41,0.8173,0.415694,0.480444,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,2.5,1,496.0,1992,240,-0.3614,0.3299,0.2244,0.4292,3.3142,0.001062,0.002447,NO-BENEFIT (avg_r_after >= 0)
MES,CME_OPEN,2.5,2,578.0,902,109,-0.265,0.2839,0.2539,0.4128,1.9227,0.057156,0.08482,NO-BENEFIT (avg_r_after >= 0)
