leader,follower,n_base,n_on,on_rate,avg_r_base,avg_r_on,avg_r_off,uplift_on_vs_off,wr_on,wr_off
M6E_US_DATA_OPEN,M2K_US_DATA_OPEN,1160,535,0.46120689655172414,-0.22321844827586207,-0.24267943925233648,-0.20655984,-0.03611959925233649,0.25981308411214954,0.2736
M2K_CME_OPEN,M6E_1100,1285,193,0.15019455252918287,-0.41177813229571975,-0.44253471502590674,-0.4063422161172161,-0.03619249890869064,0.26424870466321243,0.29120879120879123
MES_US_DATA_OPEN,MES_0030,1585,769,0.48517350157728706,-0.13733722397476342,-0.15623433029908973,-0.11952855392156864,-0.03670577637752109,0.2665799739921977,0.27941176470588236
M6E_US_POST_EQUITY,M6E_0030,1094,401,0.36654478976234006,-0.3803014625228519,-0.4037892768079801,-0.36671038961038965,-0.03707888719759045,0.24189526184538654,0.25252525252525254
MES_CME_OPEN,M6E_US_POST_EQUITY,993,141,0.1419939577039275,-0.34966998992950654,-0.3816702127659575,-0.3443741784037559,-0.03729603436220158,0.24113475177304963,0.2535211267605634
M2K_1100,M6E_US_POST_EQUITY,996,486,0.4879518072289157,-0.35162881526104417,-0.37073744855967083,-0.33341941176470585,-0.03731803679496498,0.24279835390946503,0.25882352941176473
M6E_1800,M2K_US_DATA_OPEN,1160,577,0.4974137931034483,-0.22321844827586207,-0.24202201039861349,-0.20460840480274442,-0.037413605595869065,0.25996533795493937,0.274442538593482
MES_US_EQUITY_OPEN,M6E_US_POST_EQUITY,993,479,0.4823766364551863,-0.34966998992950654,-0.36921002087682675,-0.3314605058365759,-0.03774951504025087,0.24217118997912318,0.2607003891050584
M6E_LONDON_OPEN,M2K_US_DATA_OPEN,1160,616,0.5310344827586206,-0.22321844827586207,-0.24093392857142856,-0.20315827205882353,-0.03777565651260503,0.26136363636363635,0.27389705882352944
M2K_US_EQUITY_OPEN,MES_0030,1132,597,0.5273851590106007,-0.12134558303886926,-0.13957788944723618,-0.10100037383177571,-0.03857751561546047,0.2696817420435511,0.2822429906542056
MES_1100,M2K_CME_CLOSE,432,212,0.49074074074074076,-0.7621365740740742,-0.7818231132075472,-0.7431659090909092,-0.03865720411663798,0.08018867924528301,0.09090909090909091
M2K_US_DATA_OPEN,M2K_US_EQUITY_OPEN,840,406,0.48333333333333334,-0.28044749999999996,-0.30042463054187185,-0.26175921658986173,-0.03866541395201012,0.21428571428571427,0.22580645161290322
MES_1000,MES_1100,1787,876,0.4902070509233352,-0.2753017347509793,-0.2955784246575343,-0.25580406147091106,-0.03977436318662325,0.2568493150684932,0.270032930845225
M2K_0900,MES_CME_CLOSE,398,174,0.4371859296482412,-0.625843216080402,-0.6484971264367815,-0.6082459821428571,-0.0402511442939244,0.11494252873563218,0.12946428571428573
M6E_1100,M2K_1100,1284,564,0.4392523364485981,-0.32107445482866026,-0.3436742907801419,-0.30337125000000004,-0.04030304078014185,0.26595744680851063,0.2875
MES_1100,M6E_1800,1246,630,0.5056179775280899,-0.3443307383627608,-0.36429079365079364,-0.3239170454545454,-0.04037374819624823,0.2571428571428571,0.2711038961038961
M2K_LONDON_OPEN,MES_LONDON_OPEN,1267,949,0.7490134175217048,-0.15829960536700868,-0.16876933614330875,-0.12705503144654087,-0.04171430469676787,0.27502634351949423,0.29245283018867924
M2K_1100,M2K_CME_CLOSE,433,214,0.4942263279445728,-0.7626859122401849,-0.7841934579439254,-0.7416694063926941,-0.04252405155123129,0.0794392523364486,0.091324200913242
MES_0900,M6E_1100,1279,586,0.4581704456606724,-0.4123058639562158,-0.43535102389078506,-0.39281890331890335,-0.042532120571881715,0.2713310580204778,0.30014430014430016
M2K_0900,MES_US_EQUITY_OPEN,1097,527,0.4804010938924339,-0.0958735642661805,-0.11814478178368121,-0.07528245614035085,-0.042862325643330354,0.2713472485768501,0.28421052631578947
M2K_1000,M6E_1000,985,421,0.42741116751269037,-0.3836589847715735,-0.40827030878859855,-0.3652877659574469,-0.04298254283115166,0.23515439429928742,0.25354609929078015
M2K_US_DATA_OPEN,M2K_US_POST_EQUITY,990,496,0.501010101010101,-0.15672333333333333,-0.17869798387096772,-0.1346597165991903,-0.044038267271777426,0.2600806451612903,0.2732793522267207
MES_1000,M2K_LONDON_OPEN,1271,631,0.4964594807238395,-0.19793721479150275,-0.2204339144215531,-0.175756875,-0.0446770394215531,0.27258320126782887,0.290625
M6E_1100,MES_US_EQUITY_OPEN,1097,560,0.5104831358249772,-0.09587356426618047,-0.11775392857142855,-0.073056052141527,-0.044697876429901556,0.2714285714285714,0.2849162011173184
MES_0900,M2K_CME_CLOSE,432,204,0.4722222222222222,-0.7621365740740742,-0.7863377450980391,-0.7404828947368421,-0.045854850361196964,0.0784313725490196,0.09210526315789473
M2K_0900,M6E_1800,1252,574,0.4584664536741214,-0.3474729233226836,-0.3725155052264809,-0.32627168141592927,-0.04624382381055164,0.25435540069686413,0.26991150442477874
M2K_0900,M6E_LONDON_OPEN,1253,554,0.4421388667198723,-0.2796745411013567,-0.30551173285198563,-0.2591969957081546,-0.04631473714383105,0.27617328519855594,0.2932761087267525
M2K_LONDON_OPEN,M6E_US_POST_EQUITY,996,508,0.5100401606425703,-0.35162881526104417,-0.3747232283464567,-0.3275879098360656,-0.0471353185103911,0.24606299212598426,0.25614754098360654
M6E_1100,M2K_CME_CLOSE,433,208,0.48036951501154734,-0.7626859122401849,-0.7888360576923077,-0.7385115555555557,-0.05032450213675199,0.07692307692307693,0.09333333333333334
M2K_US_POST_EQUITY,MES_CME_CLOSE,398,196,0.49246231155778897,-0.625843216080402,-0.651802551020408,-0.6006549504950495,-0.051147600525358494,0.11734693877551021,0.12871287128712872
M2K_US_DATA_OPEN,MES_0030,1132,537,0.4743816254416961,-0.12134558303886926,-0.14889906890130353,-0.09647798319327734,-0.052421085708026186,0.26629422718808193,0.28403361344537814
M6E_1000,M2K_US_DATA_OPEN,1160,580,0.5,-0.223218448275862,-0.24972913793103446,-0.1967077586206896,-0.05302137931034487,0.2603448275862069,0.27413793103448275
MES_US_POST_EQUITY,M6E_US_POST_EQUITY,993,435,0.4380664652567976,-0.34966998992950654,-0.3801749425287356,-0.32588924731182795,-0.05428569521690768,0.2367816091954023,0.26344086021505375
