symbol,session,entry_model,confirm_bars,rr_target,filter,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift,n_test_on,n_test_off
MES,CME_CLOSE,E0,1,2.5,long_fast,1013,434,54.25,0.08687834101382491,-0.16724628670120895,0.25412462771503386,0.37327188940092165,0.28842832469775476,6,6,1.0,,,0,0
MES,US_EQUITY_OPEN,E0,1,2.0,long_fast,1735,680,85.0,0.0863304411764706,0.0945052132701422,-0.008174772093671609,0.39705882352941174,0.4066350710900474,2,6,0.3333333333333333,-0.0005210860639400378,-0.06374022718370545,111,138
MES,US_POST_EQUITY,E0,2,1.5,size_q75_plus,737,186,23.25,0.08629623655913977,0.07419582577132487,0.012100410787814903,0.45698924731182794,0.5063520871143375,1,4,0.25,,,0,0
MES,US_EQUITY_OPEN,E0,1,2.0,fast_le_15,1735,1381,172.625,0.08618761766835627,0.11125028248587572,-0.025062664817519453,0.39681390296886315,0.4265536723163842,1,4,0.25,-0.011869860174702124,,231,18
MES,US_POST_EQUITY,E0,1,2.0,short_only,1728,848,106.0,0.08610306603773586,0.00041590909090909054,0.08568715694682677,0.41037735849056606,0.38295454545454544,4,7,0.5714285714285714,0.05938655187659659,0.31509419934640526,102,144
MES,US_EQUITY_OPEN,E0,1,2.0,short_fast,1735,701,87.625,0.08604907275320973,0.0948619922630561,-0.008812919509846362,0.39657631954350925,0.4071566731141199,3,6,0.5,-0.008333316142647137,0.0095268992248062,120,129
MES,0030,E0,1,3.0,long_fast,1684,651,81.375,0.08578924731182794,-0.009615392061955465,0.0954046393737834,0.3087557603686636,0.2855759922555663,4,6,0.6666666666666666,0.10300503610891368,0.055735405198244034,113,127
MES,CME_CLOSE,E1,3,1.0,size_q75_plus,840,226,28.25,0.08486858407079648,-0.0533771986970684,0.13824578276786487,0.5752212389380531,0.5472312703583062,3,4,0.75,,,0,0
M2K,CME_CLOSE,E0,1,1.5,fast_and_q75,893,242,40.333333333333336,0.08473099173553719,0.001522119815668219,0.08320887191986898,0.49586776859504134,0.5284178187403994,3,4,0.75,0.19109729170163953,-0.29875467775467773,52,148
M2K,US_EQUITY_OPEN,E0,1,1.5,short_only,1166,608,101.33333333333333,0.08465559210526316,0.015269534050179221,0.06938605805508394,0.47039473684210525,0.44086021505376344,4,5,0.8,0.08019790100933985,0.079862030075188,114,119
