sess,om,em,rr,filt,N,ExpR,clt,clp,posyrs,nyrs,oosN,oos
CME_REOPEN,30,E1,1.0,ORB_G8,204,-0.014838235294117643,-0.1509227500267856,0.8807264610872642,3,4,212,0.22547594339622645
CME_REOPEN,30,E1,1.5,NO_FILTER,1810,-0.209823591160221,-5.681962169232377,2.458049717765086e-08,0,4,224,0.3228754464285714
CME_REOPEN,30,E1,1.5,ORB_G4,484,-0.03800929752066116,-0.4774180473998598,0.6339865950557941,1,4,224,0.3228754464285714
CME_REOPEN,30,E1,1.5,ORB_G6,302,-0.017878807947019872,-0.17245868218887403,0.8635745993812721,2,4,224,0.3228754464285714
CME_REOPEN,30,E1,1.5,ORB_G8,204,-0.044976960784313735,-0.37242011159949723,0.7113679601612685,3,4,212,0.3122514150943396
CME_REOPEN,30,E1,2.0,NO_FILTER,1810,-0.19552585635359115,-4.6714791788570205,4.005162062530293e-06,0,4,224,0.35083125000000004
CME_REOPEN,30,E1,2.0,ORB_G4,484,-0.026678099173553724,-0.2962848205809697,0.7675564190855657,1,4,224,0.35083125000000004
CME_REOPEN,30,E1,2.0,ORB_G6,302,0.009538741721854302,0.07884883979514341,0.9373778270084251,3,4,224,0.35083125000000004
CME_REOPEN,30,E1,2.0,ORB_G8,204,-0.06374460784313725,-0.4654468311920505,0.6439071460878968,3,4,212,0.3307235849056604
CME_REOPEN,30,E2,1.0,NO_FILTER,438,-0.19987922374429223,-7.1277800679961345,4.2445399321469665e-12,0,4,50,0.295728
CME_REOPEN,30,E2,1.0,ORB_G4,117,0.010223076923076939,0.17052300829913447,0.8648959096280281,1,4,50,0.295728
CME_REOPEN,30,E2,1.0,ORB_G6,72,0.0766861111111111,0.9573724422072535,0.34162798053725846,3,4,50,0.295728
CME_REOPEN,30,E2,1.5,NO_FILTER,438,-0.20462511415525114,-6.194513744144136,1.3511239053245475e-09,0,4,50,0.40122599999999997
CME_REOPEN,30,E2,1.5,ORB_G4,117,-0.019731623931623934,-0.27126754178157697,0.7866674141264373,1,4,50,0.40122599999999997
CME_REOPEN,30,E2,1.5,ORB_G6,72,0.03849444444444445,0.3914484826080168,0.696638119147186,3,4,50,0.40122599999999997
CME_REOPEN,30,E2,2.0,NO_FILTER,438,-0.20428082191780822,-5.442374958995479,8.778480637249869e-08,0,4,50,0.402226
CME_REOPEN,30,E2,2.0,ORB_G4,117,-0.026274358974358963,-0.32184445477740686,0.7481497873774798,1,4,50,0.402226
CME_REOPEN,30,E2,2.0,ORB_G6,72,0.022255555555555553,0.2037499369144961,0.8391317818444544,3,4,50,0.402226
TOKYO_OPEN,5,E1,1.0,NO_FILTER,4493,-0.23824758513242822,-10.542809571271993,1.3127344553747243e-24,0,4,443,-0.1909530474040632
TOKYO_OPEN,5,E1,1.0,ORB_G4,538,-0.02559535315985131,-0.31348604544437914,0.7545105209273546,2,4,428,-0.20043364485981308
TOKYO_OPEN,5,E1,1.0,ORB_G6,265,-0.015387924528301886,-0.12787784135074065,0.8987389160071824,2,3,363,-0.17357465564738292
