strategy_id,orb_label,entry_model,rr_target,confirm_bars,filter_type,regime_n,regime_wr,regime_exp_r,regime_sharpe,regime_maxdd,regime_validated,full_n,full_wr,full_exp_r,full_sharpe,full_maxdd,full_validated,delta_exp_r,delta_sharpe
MGC_0900_E2_RR2.5_CB2_ORB_L8,0900,E2,2.5,2,ORB_L8,227,0.3216,-0.1323,-0.1033,34.6282,False,1170,0.265,-0.4254,-0.4268,501.6888,False,0.2931,0.3235
MGC_0900_E1_RR2.0_CB2_ORB_L2,0900,E1,2.0,2,ORB_L2,102,0.402,-0.1727,-0.1687,21.568,False,948,0.32,-0.4655,-0.5764,444.7936,False,0.2928,0.4077
MGC_0900_E3_RR3.0_CB2_NO_FILTER,0900,E3,3.0,2,NO_FILTER,245,0.298,-0.1133,-0.0812,37.6954,False,1203,0.2619,-0.4061,-0.3807,503.0063,False,0.2928,0.2995
MGC_0900_E1_RR4.0_CB5_ORB_L3,0900,E1,4.0,5,ORB_L3,146,0.2397,-0.1015,-0.0627,29.5487,False,1049,0.1937,-0.3937,-0.3101,425.8444,False,0.2922,0.2474
MGC_1000_E3_RR4.0_CB1_ORB_L8,1000,E3,4.0,1,ORB_L8,226,0.2356,-0.1058,-0.0645,37.2684,False,1219,0.2015,-0.3975,-0.3185,494.6468,False,0.2917,0.254
MGC_0900_E1_RR3.0_CB2_NO_FILTER,0900,E1,3.0,2,NO_FILTER,249,0.2892,-0.0917,-0.0633,33.0267,False,1217,0.2471,-0.3829,-0.3394,476.7306,False,0.2912,0.2761
MGC_1100_E3_RR4.0_CB3_ORB_L4,1100,E3,4.0,3,ORB_L4,100,0.25,-0.0777,-0.0482,19.0,False,985,0.192,-0.3689,-0.2802,370.2851,False,0.2912,0.232
MGC_1000_E2_RR4.0_CB1_ORB_L3,1000,E2,4.0,1,ORB_L3,118,0.2627,-0.0856,-0.0549,19.7002,False,1089,0.2059,-0.3766,-0.3015,419.3062,False,0.291,0.2466
MGC_0900_E2_RR2.5_CB5_NO_FILTER,0900,E2,2.5,5,NO_FILTER,241,0.3208,-0.0858,-0.0637,30.1441,False,1202,0.2717,-0.3764,-0.3546,461.8343,False,0.2906,0.2909
MGC_0900_E2_RR3.0_CB2_NO_FILTER,0900,E2,3.0,2,NO_FILTER,249,0.2851,-0.0979,-0.0674,36.1687,False,1217,0.243,-0.3884,-0.3443,485.1494,False,0.2905,0.2769
